Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Denis Zorin,New York University,,Full,Graphics,,,,,,,,,,,,,,,,,,
Dennis Shasha,New York University,1984,Full,Databases,,,,,,,,,,,,,,,,,,
Ernest Davis,New York University,1983,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Helen Nissenbaum,New York University,2001,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Jinyang Li,New York University,2012,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Joel Spencer,New York University,2010,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Juliana Freire,New York University,2014,Affiliate,Data Mining,,,,,,,,,,,,,,,,,,
Kenneth Perlin,New York University,1987,Full,Graphics,,,,,,,,,,,,,,,,,,
Lakshminarayanan Subramanian,New York University,2006,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Margaret H. Wright,New York University,,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Mehryar Mohri,New York University,2004,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Michael L. Overton,New York University,1979,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Michael Walfish,New York University,2014,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Mohamed Zahran,New York University,2010,Clinical,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Oded Regev,New York University,2009,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Olof Widlund,New York University,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Panayotis Mavromatis,New York University,,Affiliate,Multimedia,,,,,,,,,,,,,,,,,,
Patrick Cousot,New York University,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Ralph Grishman,New York University,1973,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Richard Bonneau,New York University,2005,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Richard Cole,New York University,2011,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Rob Fergus,New York University,2007,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Robert Grimm,New York University,2002,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Subhash Khot,New York University,2008,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Thomas Wies,New York University,2011,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Victor Shoup,New York University,2002,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Yann LeCun,New York University,2003,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Yevgeniy Dodis,New York University,2001,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Zvi Kedem,New York University,1991,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Ben Watson,North Carolina State University,2006,Associate,Graphics,,,,,,,,,,,,,,,,,,
Blair D. Sullivan,North Carolina State University,2013,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Carla D. Savage,North Carolina State University,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Christopher G. Healey,North Carolina State University,2003,Full,Graphics,,,,,,,,,,,,,,,,,,
David L. Roberts,North Carolina State University,2010,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
David Sturgill,North Carolina State University,2011,Assistant,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
David Thuente,North Carolina State University,2001,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Dennis R. Bahler,North Carolina State University,1987,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Donald Bitzer,North Carolina State University,1990,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Douglas S. Reeves,North Carolina State University,1987,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Edward Gehringer,North Carolina State University,2000,Associate,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Emerson Murphy-Hill,North Carolina State University,2010,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Frank Mueller,North Carolina State University,2010,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
George N. Rouskas,North Carolina State University,1994,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Harry Perros,North Carolina State University,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Injong Rhee,North Carolina State University,2001,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
James C. Lester,North Carolina State University,1994,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Jon Doyle,North Carolina State University,2001,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Kemafor Anyanwu Ogan,North Carolina State University,2007,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Khaled Harfoush,North Carolina State University,,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Kristy Elizabeth Boyer,North Carolina State University,,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Laurie Williams,North Carolina State University,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Matthias Stallmann,North Carolina State University,,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Michael Rappa,North Carolina State University,1998,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Michael Young,North Carolina State University,1999,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Min Chi,North Carolina State University,2013,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Mladen Vouk,North Carolina State University,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Munindar P. Singh,North Carolina State University,1993,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Nagiza Samatova,North Carolina State University,2007,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Peng Ning,North Carolina State University,2001,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
R. Michael Young,North Carolina State University,1999,Full,Graphics,,,,,,,,,,,,,,,,,,
Rada Y. Chirkova,North Carolina State University,,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Randy Avent,North Carolina State University,,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Robert D. Rodman,North Carolina State University,,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Robert Fornaro,North Carolina State University,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Robert St. Amant,North Carolina State University,2001,Associate,Software Engineering,,,,,,,,,,,,,,,,,,
Rudra Dutta,North Carolina State University,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Sarah Heckman,North Carolina State University,,Teaching,Software Engineering,,,,,,,,,,,,,,,,,,
Steffen Heber,North Carolina State University,2003,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Tiffany Barnes,North Carolina State University,,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Ting Yu,North Carolina State University,2003,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Vincent W. Freeh,North Carolina State University,2003,Associate,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
William Enck,North Carolina State University,2011,Assistant,Operating Systems,,,,,,,,,,,,,,,,,,
William J. Stewart,North Carolina State University,1978,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Xiaohui (Helen) Gu,North Carolina State University,2008,Associate,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Xiaosong Ma,North Carolina State University,,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Xuxian Jiang,North Carolina State University,,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Abraham H Haddad,Northwestern University,1988,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Aggelos Katsaggelos,Northwestern University,1985,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Alan V Sahakian,Northwestern University,1984,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Aleksandar Kuzmanovic,Northwestern University,2005,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Allen Taflove,Northwestern University,1988,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Alok N Choudhary,Northwestern University,,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Arthur Butz,Northwestern University,,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Benjamin Watson,Northwestern University,2006,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Brenna D Argall,Northwestern University,2011,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Bryan Pardo,Northwestern University,2004,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Chang Liu,Northwestern University,2007,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Chi-Haur Wu,Northwestern University,1983,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Christopher Riesbeck,Northwestern University,,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Chung-Chieh Lee,Northwestern University,,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Don Norman,Northwestern University,,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Dongning Guo,Northwestern University,2004,Associate,Software Engineering,,,,,,,,,,,,,,,,,,
Doug Downey,Northwestern University,2008,Assistant,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Fabin E Bustamante,Northwestern University,2008,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Goce Trajcevski,Northwestern University,2007,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Gokhan Memik,Northwestern University,2003,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Hai Zhou,Northwestern University,2007,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Haoqi Zhang,Northwestern University,2013,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Hooman Mohseni,Northwestern University,2004,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Horace Yuen,Northwestern University,,Full,Graphics,,,,,,,,,,,,,,,,,,
Ian Horswill,Northwestern University,,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Jack Tumblin,Northwestern University,,Associate,Graphics,,,,,,,,,,,,,,,,,,
Jason D Hartline,Northwestern University,2008,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Kenneth D Forbus,Northwestern University,1992,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Koray Aydin,Northwestern University,2011,Assistant,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Kristian Hammond,Northwestern University,,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Larry Birnbaum,Northwestern University,1989,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Lawrence Henschen,Northwestern University,1971,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Louis Gomez,Northwestern University,2001,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Manijeh Razeghi,Northwestern University,1991,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Martin Plonus,Northwestern University,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Matthew Grayson,Northwestern University,,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Michael Honig,Northwestern University,1994,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Michael Horn,Northwestern University,2010,Assistant,Computer Education,,,,,,,,,,,,,,,,,,
Ming-Yang Kao,Northwestern University,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Morteza Amir Rahimi,Northwestern University,1992,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Nikos Hardavellas,Northwestern University,2009,Assistant,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Oliver (Ollie) S Cossairt,Northwestern University,2012,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Peter A Dinda,Northwestern University,,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Peter Scheuermann,Northwestern University,1979,Full,Databases,,,,,,,,,,,,,,,,,,
Prem Kumar,Northwestern University,1986,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Randall Berry,Northwestern University,2000,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Randy Freeman,Northwestern University,1996,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Robby Findler,Northwestern University,,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Robert P Dick,Northwestern University,,Associate,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Russ Joseph,Northwestern University,,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Seda Ogrenci Memik,Northwestern University,2009,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Selim Shahriar,Northwestern University,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Seng-Tiong Ho,Northwestern University,1991,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Thrasyvoulos N Pappas,Northwestern University,1999,Full,Graphics,,,,,,,,,,,,,,,,,,
Tom Hinrichs,Northwestern University,2002,Research,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Uri Wilensky,Northwestern University,,Full,Computer Education,,,,,,,,,,,,,,,,,,
Wei-Chung Lin,Northwestern University,,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Yan Chen,Northwestern University,,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Ying Wu,Northwestern University,2001,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Anastasios Sidiropoulos,Ohio State University,2013,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Anish Arora,Ohio State University,2002,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Arnab Nandi,Ohio State University,2012,Assistant,Databases,,,,,,,,,,,,,,,,,,
Atanas Rountev,Ohio State University,2002,Associate,Software Engineering,,,,,,,,,,,,,,,,,,
Brian Kulis,Ohio State University,2012,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Christopher Stewart,Ohio State University,2009,Assistant,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Chunyi Peng,Ohio State University,2013,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Dhabaleswar K (DK) Panda,Ohio State University,1991,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
DeLiang Wang,Ohio State University,1991,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Dong Xuan Xuan,Ohio State University,2007,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Eric Fosler-Lussier,Ohio State University,2003,Associate,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Facundo Memoli,Ohio State University,2014,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Feng Qin,Ohio State University,2006,Associate,Operating Systems,,,,,,,,,,,,,,,,,,
Gagan Agrawal,Ohio State University,2003,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Han-Wei Shen,Ohio State University,2006,Full,Graphics,,,,,,,,,,,,,,,,,,
Huamin Wang,Ohio State University,2011,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Jim Davis,Ohio State University,2000,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Kannan Srinivasan,Ohio State University,2011,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Kenneth Supowit,Ohio State University,,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Luis Rademacher,Ohio State University,2009,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Michael Bond,Ohio State University,2010,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
Mikhail Belkin,Ohio State University,2005,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Neelam Soundarajan,Ohio State University,,Associate,Software Engineering,,,,,,,,,,,,,,,,,,
Ness Shroff,Ohio State University,2007,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Nicoleta Roman,Ohio State University,2005,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
P. Sadayappan,Ohio State University,1990,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Paul Sivilotti,Ohio State University,2004,Associate,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Prasun Sinha,Ohio State University,2003,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Radu Teodorescu,Ohio State University,2008,Assistant,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Raghu Machiraju,Ohio State University,2003,Full,Graphics,,,,,,,,,,,,,,,,,,
Rephael Wenger,Ohio State University,,Associate,Graphics,,,,,,,,,,,,,,,,,,
Roger Crawfis,Ohio State University,2012,Associate,Graphics,,,,,,,,,,,,,,,,,,
Spyros Blanas,Ohio State University,2013,Assistant,Databases,,,,,,,,,,,,,,,,,,
Srinivasan Parthasarathy,Ohio State University,2010,Full,Data Mining,,,,,,,,,,,,,,,,,,
Tamal Dey,Ohio State University,,Full,Graphics,,,,,,,,,,,,,,,,,,
Ten-Hwang Steve Lai,Ohio State University,2010,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Xiaodong Zhang,Ohio State University,,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Yusu Wang,Ohio State University,2005,Associate,Graphics,,,,,,,,,,,,,,,,,,
Adam Smith,Pennsylvania State University,,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Anand Sivasubramaniam,Pennsylvania State University,1995,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Bhuvan Urgaonkar,Pennsylvania State University,,Associate,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Chita R. Das,Pennsylvania State University,1986,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Daniel Kifer,Pennsylvania State University,2008,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
George Kesidis,Pennsylvania State University,2000,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Guohong Cao,Pennsylvania State University,1999,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Jesse Barlow,Pennsylvania State University,1981,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
John (Jack) Sampson,Pennsylvania State University,2013,Assistant,Hardware & Architecture,,,,,,,,,,,,,,,,,,
John Carroll,Pennsylvania State University,1982,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
John Hannan,Pennsylvania State University,,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
John J. Metzner,Pennsylvania State University,1986,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Kamesh Madduri,Pennsylvania State University,2011,Assistant,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Lee Coraor,Pennsylvania State University,,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Mahmut Kandemir,Pennsylvania State University,2008,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Martin Furer,Pennsylvania State University,1996,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Mary Jane Irwin,Pennsylvania State University,1977,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Padma Raghavan,Pennsylvania State University,2000,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Patrick D. McDaniel,Pennsylvania State University,2004,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Paul Medvedev,Pennsylvania State University,2012,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Piotr Berman,Pennsylvania State University,1982,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Raj Acharya,Pennsylvania State University,2009,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Robert Collins,Pennsylvania State University,2005,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Sean Hallgren,Pennsylvania State University,2006,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Sencun Zhu,Pennsylvania State University,2009,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Sofya Raskhodnikova,Pennsylvania State University,2007,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Thomas La Porta,Pennsylvania State University,2002,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Trent Jaeger,Pennsylvania State University,2005,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Vijaykrishnan Narayanan,Pennsylvania State University,1998,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Wang-Chien Lee,Pennsylvania State University,2002,Associate,Databases,,,,,,,,,,,,,,,,,,
Webb C. Miller,Pennsylvania State University,1985,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Yanxi Liu,Pennsylvania State University,2006,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Yuan Xie,Pennsylvania State University,2003,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Adam Finkelstein,Princeton University,1997,Full,Graphics,,,,,,,,,,,,,,,,,,
Andrea LaPaugh,Princeton University,1981,Full,Information Retrieval,,,,,,,,,,,,,,,,,,
Andrew Appel,Princeton University,1986,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Arvind Narayanan,Princeton University,2012,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Bernard Chazelle,Princeton University,1986,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Brian Kernighan,Princeton University,,Full,Programming Languages,,,,,,,,,,,,,,,,,,
David August,Princeton University,1999,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
David Blei,Princeton University,2006,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
David Dobkin,Princeton University,1981,Full,Graphics,,,,,,,,,,,,,,,,,,
David Walker,Princeton University,2008,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Douglas Clark,Princeton University,1993,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Edward Felten,Princeton University,1993,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Jaswinder Singh,Princeton University,,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Jennifer Rexford,Princeton University,2005,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Jianxiong Xiao,Princeton University,2012,Assistant,Computer Vision,,,,,,,,,,,,,,,,,,
Kai Li,Princeton University,1986,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Margaret Martonosi,Princeton University,1994,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Mark Braverman,Princeton University,2011,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Michael Freedman,Princeton University,2007,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Mona Singh,Princeton University,1999,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Moses Charikar,Princeton University,2001,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Olga Troyanskaya,Princeton University,2009,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Rebecca Fiebrink,Princeton University,2011,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Robert Schapire,Princeton University,2002,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Robert Sedgewick,Princeton University,1985,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Robert Tarjan,Princeton University,1985,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Sanjeev Arora,Princeton University,1994,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Sebastian Seung,Princeton University,1998,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Szymon Rusinkiewicz,Princeton University,,Full,Graphics,,,,,,,,,,,,,,,,,,
Thomas Funkhouser,Princeton University,2009,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Vivek Pai,Princeton University,2007,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Zeev Dvir,Princeton University,,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Aditya P. Mathur,Purdue University,1987,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Ahmed Elmagarmid,Purdue University,1988,Full,Databases,,,,,,,,,,,,,,,,,,
Ahmed Sameh,Purdue University,1997,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Aman Yadav,Purdue University,2012,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Ananth Grama,Purdue University,1996,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Bharat Bhargava,Purdue University,1984,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Bradley Lucier,Purdue University,1981,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Buster Dunsmore,Purdue University,1978,Associate,World Wide Web,,,,,,,,,,,,,,,,,,
Chris Clifton,Purdue University,2001,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Chris Hoffmann,Purdue University,1976,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Cristina Nita-Rotaru,Purdue University,2003,Associate,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Daisuke Kihara,Purdue University,2003,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Daniel Aliaga,Purdue University,2003,Associate,Graphics,,,,,,,,,,,,,,,,,,
David Gleich,Purdue University,2011,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Dongyan Xu,Purdue University,2001,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Douglas Comer,Purdue University,1976,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Elena Grigorescu,Purdue University,2012,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Elisa Bertino,Purdue University,2004,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Elisha Sacks,Purdue University,1994,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Eugene H. Spafford,Purdue University,1987,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Greg N. Frederickson,Purdue University,1982,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Jan Vitek,Purdue University,1999,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Jeffrey M. Siskind,Purdue University,2009,Associate,Software Engineering,,,,,,,,,,,,,,,,,,
Jennifer Neville,Purdue University,2006,Associate,Data Mining,,,,,,,,,,,,,,,,,,
Luo Si,Purdue University,2006,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Mikhail Atallah,Purdue University,1982,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Ninghui Li,Purdue University,2003,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Olga Vitek,Purdue University,2006,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Patrick Thomas Eugster,Purdue University,2006,Associate,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Ramana Kompella,Purdue University,2007,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Robert D. Skeel,Purdue University,2004,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
S. V. N. Vishwanathan,Purdue University,2008,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Sabre Kais,Purdue University,2005,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Samuel Wagstaff,Purdue University,1983,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Saugata Basu,Purdue University,2008,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Sonia Fahmy,Purdue University,1999,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Sunil Prabhakar,Purdue University,1998,Full,Databases,,,,,,,,,,,,,,,,,,
Suresh Jagannathan,Purdue University,2002,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Susanne Hambrusch,Purdue University,1982,Full,Databases,,,,,,,,,,,,,,,,,,
T. N. Vijaykumar,Purdue University,2003,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Tony Hosking,Purdue University,1995,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Walid Aref,Purdue University,1999,Full,Databases,,,,,,,,,,,,,,,,,,
