Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Shriram Krishnamurthi,Brown University,2000,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Sorin Istrail,Brown University,2005,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Stan Zdonik,Brown University,1983,Full,Databases,,,,,,,,,,,,,,,,,,
Stefanie Tellex,Brown University,2013,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Steven Reiss,Brown University,1977,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Thomas Doeppner,Brown University,1981,Research,Operating Systems,,,,,,,,,,,,,,,,,,
Tim Kraska,Brown University,2013,Assistant,Databases,,,,,,,,,,,,,,,,,,
Ugur Cetintemel,Brown University,2001,Full,Databases,,,,,,,,,,,,,,,,,,
Adam Wierman,California Institute of Technology,2007,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Alain J. Martin,California Institute of Technology,1969,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Alan H. Barr,California Institute of Technology,1984,Full,Graphics,,,,,,,,,,,,,,,,,,
Christopher Umans,California Institute of Technology,2002,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Erik Winfree,California Institute of Technology,2000,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Katrina Ligett,California Institute of Technology,2011,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Leonard J. Schulman,California Institute of Technology,2000,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Mathieu Desbrun,California Institute of Technology,1997,Full,Graphics,,,,,,,,,,,,,,,,,,
Peter Schroeder,California Institute of Technology,1995,Full,Graphics,,,,,,,,,,,,,,,,,,
Steven Low,California Institute of Technology,2000,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Thomas Vidick,California Institute of Technology,2014,Assistant,Scientific Computing,,,,,,,,,,,,,,,,,,
Tracey C. Ho,California Institute of Technology,2005,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Venkat Chandrasekaran,California Institute of Technology,2012,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Yaser S. Abu-Mostafa,California Institute of Technology,1983,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Yisong Yue,California Institute of Technology,2014,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Aarti Singh,Carnegie Mellon University,2009,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Adrien Treuille,Carnegie Mellon University,2008,Assistant,Scientific Computing,,,,,,,,,,,,,,,,,,
Alan Black,Carnegie Mellon University,1999,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Alan Montgomery,Carnegie Mellon University,1999,Associate,Data Mining,,,,,,,,,,,,,,,,,,
Alexander J. Smola,Carnegie Mellon University,2013,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Alexander Waibel,Carnegie Mellon University,,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Amy Ogan,Carnegie Mellon University,2014,Assistant,Computer Education,,,,,,,,,,,,,,,,,,
Andre Platzer,Carnegie Mellon University,2008,Assistant,Scientific Computing,,,,,,,,,,,,,,,,,,
Andrew Moore,Carnegie Mellon University,1993,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Andy Pavlo,Carnegie Mellon University,2013,Assistant,Databases,,,,,,,,,,,,,,,,,,
Aniket Kittur,Carnegie Mellon University,2007,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Anind Dey,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Ann Lee,Carnegie Mellon University,2005,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Anupam Datta,Carnegie Mellon University,2007,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Anupam Gupta,Carnegie Mellon University,2004,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Ariel Procaccia,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Avrim Blum,Carnegie Mellon University,1991,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Barnabás Póczos,Carnegie Mellon University,2010,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Bhiksha Raj,Carnegie Mellon University,,Associate,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Brad Myers,Carnegie Mellon University,1987,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Carl Kingsford,Carnegie Mellon University,2012,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Carolyn Penstein Rose,Carnegie Mellon University,2003,Associate,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Chris Atkeson,Carnegie Mellon University,2000,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Chris Harrison,Carnegie Mellon University,2013,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Christian Kästner,Carnegie Mellon University,2012,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Christine Neuwirth,Carnegie Mellon University,1983,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Christopher Dyer,Carnegie Mellon University,2012,Assistant,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Christopher Langmead,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Christos Faloutsos,Carnegie Mellon University,1998,Full,Data Mining,,,,,,,,,,,,,,,,,,
Claire Le Goues,Carnegie Mellon University,2013,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Daniel D. Sleator,Carnegie Mellon University,1999,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Daniel P. Siewiorek,Carnegie Mellon University,1972,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Dannie Durand,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
David Andersen,Carnegie Mellon University,,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
David Brumley,Carnegie Mellon University,,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
David Farber,Carnegie Mellon University,,Full,Programming Languages,,,,,,,,,,,,,,,,,,
David Garlan,Carnegie Mellon University,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
David O'Hallaron,Carnegie Mellon University,1989,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Edmund M. Clarke,Carnegie Mellon University,1982,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Emma Brunskill,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
